,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
0,Aartsma,Pieter,,,,,no authors found with current query
1,Salem,A. Z.M.,Universidad Autónoma del Estado de México,,,AGRI (349); VETE (151); MEDI (100),"first of multiple profiles found, criteria not met"
2,Abu,Ozotu,,,,,no authors found with current query
3,Adam,Trudy Jean,,,,,no authors found with current query
4,Adams,Leona,,,,,no authors found with current query
5,Adeshina,Adetokunbo,,,,,no authors found with current query
6,Afridi,Qasim,,,,,no authors found with current query
7,Afzal,Ayesha,Wah Medical College,,,MEDI (13); PHAR (2),
8,Afzal,Neelam,"Beaumont Hospital, Dublin",,,MEDI (3); PSYC (1),
9,Agafonov,Marina,,,,,no authors found with current query
10,Agbahovbe,Onome,,,,,no authors found with current query
11,Agboji,Hezekiah,,,,,no authors found with current query
12,Agranovich,Eugene,,,,,no authors found with current query
13,Ahmad,Nauman,King Khaled Eye Specialist Hospital,,,MEDI (13); NEUR (1),"first of multiple profiles found, criteria not met"
14,Ainsworth,Nick,,,,,no authors found with current query
15,Ainsworth,Geoffrey,,,,,no authors found with current query
16,Ali,Shaik Mahaboob,"Centre for Liver Research and Diagnostics, Hyderabad",,,MEDI (9); IMMU (3),"first of multiple profiles found, criteria not met"
17,Allen,Katie,BC​ Children​'​​s Hospital,57858657800,,MEDI (1); PSYC (1),
18,Allibhai,Fatima,,,,,no authors found with current query
19,Almas,Naveed,,,,,no authors found with current query
20,Amarjothi Nagendran,Sreedharan,,,,,no authors found with current query
21,Anderson,Cameron M.,The University of British Columbia,55453388200,,NEUR (3); MEDI (1),
22,Anwar,Syed Muhammad,The George Washington University School of Medicine and Health Sciences,,,COMP (166); ENGI (58); MEDI (43),"first of multiple profiles found, criteria not met"
23,Anyansi,Tochukwu E.,Connolly Hospital Blanchardstown,,,MEDI (1),
24,Argouarch,Sylvie,,,,,no authors found with current query
25,Armstrong,Kimberly,,,,,no authors found with current query
26,Au,Chihung,Queen Mary Hospital Hong Kong,,,MEDI (7); NEUR (2); NURS (1),
