,Last Name,First Name,Affiliation,EIDs,Scopus Author ID,ORCID,Research Areas,Warnings
0,Salem,A. Z.M.,Universidad Autónoma del Estado de México,9-s2.0-56589498600,56589498600,0000-0001-7418-4170,AGRI (349); VETE (151); MEDI (100),multiple profiles; affiliation not in list
1,Adeshina,Adetokunbo,Oxford Health NHS Foundation Trust,9-s2.0-15126913500,15126913500,,MEDI (2); NEUR (1),affiliation not in list
2,Afzal,Ayesha,University of Lahore,9-s2.0-57397486500,57397486500,,AGRI (12); MULT (5); MEDI (4),multiple profiles; affiliation not in list
3,Afzal,Neelam,"Beaumont Hospital, Dublin",9-s2.0-36193642100,36193642100,,MEDI (3); PSYC (1),affiliation not in list
4,Agbahovbe,Onome,Warrenstown Inpatient Unit,9-s2.0-22133847000,22133847000,,PSYC (1),affiliation not in list
5,Agranovich,Eugene,Simon Fraser University,9-s2.0-6507647786,6507647786,,BIOC (3),affiliation not in list
6,Nauman Ahmad,Muhammad,"The University of Agriculture, Peshawar",9-s2.0-57214109029,57214109029,,ENVI (43); AGRI (31); PHAR (28),multiple profiles; affiliation not in list
7,Ainsworth,Geoffrey,,9-s2.0-35190175100,35190175100,,MEDI (2),affiliation not in list
8,Ali,Pervaiz Shaik Syed,Maldives National University,9-s2.0-57224997612,57224997612,,MEDI (12); IMMU (6); BIOC (5),multiple profiles; affiliation not in list
9,Allen,Katrina Jane,Murdoch Children's Research Institute,9-s2.0-7202632344,7202632344,0000-0002-1921-4493,MEDI (521); IMMU (152); BIOC (34),multiple profiles; affiliation not in list
10,Anderson,Cameron P.,"University of California, Berkeley",9-s2.0-7404307471,7404307471,,PSYC (50); BUSI (25); SOCI (18),multiple profiles; affiliation not in list
11,Anwar,Syed Muhammad,The George Washington University School of Medicine and Health Sciences,9-s2.0-36781722700,36781722700,0000-0002-8179-3959,COMP (166); ENGI (58); MEDI (43),multiple profiles; affiliation not in list
12,Anyansi,Tochukwu E.,Connolly Hospital Blanchardstown,9-s2.0-55735246900,55735246900,,MEDI (1),affiliation not in list
13,Armstrong,Kimberly L.,United States Department of Health and Human Services,9-s2.0-26634664600,26634664600,,MEDI (8); IMMU (3); PHAR (2),multiple profiles; affiliation not in list
14,Au,Chihung,Queen Mary Hospital Hong Kong,9-s2.0-57205304113,57205304113,,MEDI (7); NEUR (2); NURS (1),affiliation not in list
15,Au,Raymond Wing Cheong,United Christian Hospital Hong Kong,9-s2.0-8512041800,8512041800,,MEDI (18); NEUR (5); PSYC (3),multiple profiles; affiliation not in list
16,Austin,Jehannine C.,"University of British Columbia, Faculty of Medicine",9-s2.0-7402093250,7402093250,0000-0003-0338-7055,MEDI (264); BIOC (47); NEUR (37),
17,Awe,Ayodeji,"Federal University, Oye-Ekiti",9-s2.0-57366420700,57366420700,,MULT (1),affiliation not in list subject mismatch; 
18,Aydin,Cristina M.,The University of British Columbia,9-s2.0-15130612300,15130612300,,MEDI (4); BIOC (1),multiple profiles; 
19,Azarbar,Ataa,The University of British Columbia,9-s2.0-57193737040,57193737040,,MEDI (2); PSYC (1); NEUR (1),
20,Azim,Hassan F.A.,The University of British Columbia,9-s2.0-6701805069,6701805069,,MEDI (35); PSYC (25); SOCI (2),multiple profiles; 
21,Baer,Susan C.,UT Southwestern Medical School,9-s2.0-7005865405,7005865405,,MEDI (32); BIOC (4); HEAL (1),multiple profiles; affiliation not in list
22,Bailey,Anthony J.,"University of British Columbia, Faculty of Medicine",9-s2.0-7402596134,7402596134,,MEDI (129); NEUR (62); PSYC (53),multiple profiles; 
