,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Research Areas,Warnings
0,Aartsma,Pieter,,,,,no profile found
1,Salem,A. Z.M.,Universidad Autónoma del Estado de México,,0000-0001-7418-4170,AGRI (349); VETE (151); MEDI (100),multiple profiles; affiliation not in list
2,Abu,Ozotu,,,,,no profile found
3,Adam,Trudy Jean,,,,,no profile found
4,Adams,Leona,,,,,no profile found
5,Adeshina,Adetokunbo,Oxford Health NHS Foundation Trust,,,MEDI (2); NEUR (1),affiliation not in list
6,Afridi,Qasim,,,,,no profile found
7,Afzal,Ayesha,University of Lahore,,,AGRI (12); MULT (5); MEDI (4),multiple profiles; affiliation not in list
8,Afzal,Neelam,"Beaumont Hospital, Dublin",,,MEDI (3); PSYC (1),affiliation not in list
9,Agafonov,Marina,,,,,no profile found
10,Agbahovbe,Onome,Warrenstown Inpatient Unit,,,PSYC (1),affiliation not in list
11,Agboji,Hezekiah,,,,,no profile found
12,Agranovich,Eugene,Simon Fraser University,,,BIOC (3),affiliation not in list
13,Nauman Ahmad,Muhammad,"The University of Agriculture, Peshawar",,,ENVI (43); AGRI (31); PHAR (28),multiple profiles; affiliation not in list
14,Ainsworth,Nick,,,,,no profile found
15,Ainsworth,Geoffrey,,,,MEDI (2),affiliation not in list
16,Ali,Pervaiz Shaik Syed,Maldives National University,,,MEDI (12); IMMU (6); BIOC (5),multiple profiles; affiliation not in list
17,Allen,Katrina Jane,Murdoch Children's Research Institute,,0000-0002-1921-4493,MEDI (521); IMMU (152); BIOC (34),multiple profiles; affiliation not in list
18,Allibhai,Fatima,,,,,no profile found
19,Almas,Naveed,,,,,no profile found
20,Amarjothi Nagendran,Sreedharan,,,,,no profile found
21,Anderson,Cameron P.,"University of California, Berkeley",,,PSYC (50); BUSI (25); SOCI (18),multiple profiles; affiliation not in list
22,Anwar,Syed Muhammad,The George Washington University School of Medicine and Health Sciences,,0000-0002-8179-3959,COMP (166); ENGI (58); MEDI (43),multiple profiles; affiliation not in list
23,Anyansi,Tochukwu E.,Connolly Hospital Blanchardstown,,,MEDI (1),affiliation not in list
24,Argouarch,Sylvie,,,,,no profile found
25,Armstrong,Kimberly L.,United States Department of Health and Human Services,,,MEDI (8); IMMU (3); PHAR (2),multiple profiles; affiliation not in list
26,Au,Chihung,Queen Mary Hospital Hong Kong,,,MEDI (7); NEUR (2); NURS (1),affiliation not in list
27,Au,Raymond Wing Cheong,United Christian Hospital Hong Kong,,,MEDI (18); NEUR (5); PSYC (3),multiple profiles; affiliation not in list
28,Austin,Jehannine C.,"University of British Columbia, Faculty of Medicine",,0000-0003-0338-7055,MEDI (264); BIOC (47); NEUR (37),
29,Awe,Ayodeji,"Federal University, Oye-Ekiti",,,MULT (1),affiliation not in list subject mismatch; 
30,Aydin,Cristina M.,The University of British Columbia,,,MEDI (4); BIOC (1),multiple profiles; 
31,Azarbar,Ataa,The University of British Columbia,,,MEDI (2); PSYC (1); NEUR (1),
