,Last Name,First Name,Affiliation,City,Countries,Scopus Author ID,ORCID,Research Areas,Warnings
0,Aartsma,Pieter,,,,,,,no profile found
1,Salem,A. Z.M.,Universidad Autónoma del Estado de México,"['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]","['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]",56589498600,0000-0001-7418-4170,AGRI (349); VETE (151); MEDI (100),multiple profiles; affiliation not in list
2,Abu,Ozotu,,,,,,,no profile found
3,Adam,Trudy Jean,,,,,,,no profile found
4,Adams,Leona,,,,,,,no profile found
5,Adeshina,Adetokunbo,Oxford Health NHS Foundation Trust,"['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]","['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]",15126913500,,MEDI (2); NEUR (1),affiliation not in list
6,Afridi,Qasim,,,,,,,no profile found
7,Afzal,Ayesha,University of Lahore,"['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]","['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]",57397486500,,AGRI (12); MULT (5); MEDI (4),multiple profiles; affiliation not in list
8,Afzal,Neelam,"Beaumont Hospital, Dublin","['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]","['', [...], '', '', '', [...], '', [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], '', '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], '', [...], [...], '', [...], '', [...], [...], [...], '', [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', '', '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], [...], [...], [...], [...], [...], [...], '', [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], [...], '', '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], '', [...], '', '', [...], '', [...], [...], [...], '', '', [...], [...], [...], [...], '', [...], '', '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', '', [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', '', [...], '', '', '', [...], [...], [...], '', [...], [...], '', [...], '', [...], [...], '', '', [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], '', '', [...], '', [...], [...], [...], [...], [...], '', '', [...], [...], [...], [...], [...], [...], [...], [...], [...], '', '', [...], [...], '', '', '', [...], [...], [...], [...], '', '', '', '', [...], '', [...], [...], '', [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], '', [...], '', [...], [...], '', [...], [...], '', '', '', [...], '', '', [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], [...], [...], [...], '', [...], [...], '', [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], [...], '', [...], [...], [...], '', [...], [...], [...], [...], [...]]",36193642100,,MEDI (3); PSYC (1),affiliation not in list
9,Agafonov,Marina,,,,,,,no profile found
