,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
0,Aartsma,Pieter,,,,,no authors found with criteria
1,Abu,Ozotu,,,,,no authors found with criteria
2,Adam,Trudy Jean,,,,,no authors found with criteria
3,Adams,Leona,,,,,no authors found with criteria
4,Adeshina,Adetokunbo,,,,,no authors found with criteria
5,Afridi,Qasim,,,,,no authors found with criteria
6,Afzal,Ayesha,Wah Medical College,,,MEDI (13); PHAR (2),did not meet criteria
7,Afzal,Neelam,"Beaumont Hospital, Dublin",,,MEDI (3); PSYC (1),did not meet criteria
8,Agafonov,Marina,,,,,no authors found with criteria
9,Agbahovbe,Onome,,,,,no authors found with criteria
10,Agboji,Hezekiah,,,,,no authors found with criteria
11,Agranovich,Eugene,,,,,no authors found with criteria
12,Ainsworth,Nick,,,,,no authors found with criteria
13,Ainsworth,Geoffrey,,,,,no authors found with criteria
14,Allen,Katie,BC​ Children​'​​s Hospital,57858657800,,MEDI (1); PSYC (1),
15,Allibhai,Fatima,,,,,no authors found with criteria
16,Almas,Naveed,,,,,no authors found with criteria
17,Amarjothi Nagendran,Sreedharan,,,,,no authors found with criteria
18,Anderson,Cameron M.,The University of British Columbia,55453388200,,NEUR (3); MEDI (1),
19,Anyansi,Tochukwu E.,Connolly Hospital Blanchardstown,,,MEDI (1),did not meet criteria
20,Argouarch,Sylvie,,,,,no authors found with criteria
21,Armstrong,Kimberly,,,,,no authors found with criteria
22,Au,Chihung,Queen Mary Hospital Hong Kong,,,MEDI (7); NEUR (2); NURS (1),did not meet criteria
23,Au,Raymond Wing Cheong,United Christian Hospital Hong Kong,,,MEDI (18); NEUR (5); PSYC (3),did not meet criteria
24,Austin,Jehannine C.,"University of British Columbia, Faculty of Medicine",7402093250,0000-0003-0338-7055,MEDI (264); BIOC (47); NEUR (37),
25,Awe,Ayodeji,,,,,no authors found with criteria
26,Aydin,Cristina M.,The University of British Columbia,15130612300,,MEDI (4); BIOC (1),
27,Azarbar,Ataa,The University of British Columbia,57193737040,,MEDI (2); PSYC (1); NEUR (1),
28,Azim,Hassan F.A.,The University of British Columbia,6701805069,,MEDI (35); PSYC (25); SOCI (2),
29,Baer,Susan,The University of British Columbia,7005865403,,PHYS (23); MEDI (15); CHEM (12),
30,Bailey,Anthony J.,"University of British Columbia, Faculty of Medicine",7402596134,,MEDI (129); NEUR (62); PSYC (53),
31,Bains,Ramnique,,,,,no authors found with criteria
32,Balakrishnan,Pradeep,St George Hospital,,,MEDI (1),did not meet criteria
33,Ballance,Dina,,,,,no authors found with criteria
34,Banno,Brian,British Columbia Cancer Agency,25227722500,,BIOC (2); PHAR (2); AGRI (1),
35,Barale,Anthony,,,,,no authors found with criteria
36,Bardell,Andrea L.,University of Ottawa,,,MEDI (8); NEUR (1); NURS (1),did not meet criteria
37,Barley,Jennifer,,,,,no authors found with criteria
38,Bates,Alan Thomas,"University of British Columbia, Faculty of Medicine",7102492953,,MEDI (51); NEUR (21); PSYC (18),
39,Batke,Adrienne,,,,,no authors found with criteria
40,Bayat,Negar,,,,,no authors found with criteria
41,Beasley,Clare Louise,The University of British Columbia,7102979717,0000-0001-5919-7838,MEDI (52); NEUR (49); BIOC (18),
42,Beauchemin,Lyne,,,,,no authors found with criteria
43,Beaumont,Charl,,,,,no authors found with criteria
44,Benning,Tony B.,"University of British Columbia, Faculty of Medicine",57212434003,,MEDI (22); PSYC (8); SOCI (5),
45,Bergen,Dorothea,,,,,no authors found with criteria
46,Bhalla,Rishi K.,Vancouver General Hospital,8743293100,,MEDI (27); PSYC (6); NEUR (6),
47,Bhasin,Mani,Newcastle General Hospital,,,MEDI (2),did not meet criteria
48,Bhatia,Niti,,,,,no authors found with criteria
49,Bilsker,Dan,"University of British Columbia, Faculty of Medicine",57203574310,,MEDI (28); PSYC (3); NURS (2),
50,Biradar,Apparao,,,,,no authors found with criteria
51,Birkholz,Kristina,,,,,no authors found with criteria
52,Birlik,Muzumel,,,,,no authors found with criteria
53,Birmingham,Carl Laird,The University of British Columbia,7005293592,0000-0003-4331-2664,MEDI (205); PSYC (77); AGRI (29),
54,Johnson-Bishop,Lindsay,Baylor College of Medicine,,,MEDI (4); NURS (1),did not meet criteria
55,Black,Tyler R.,"University of British Columbia, Faculty of Medicine",56603764900,,MEDI (24); PSYC (1); MULT (1),
56,Blackburn,Paul,The University of British Columbia,57193806244,,MEDI (3),
57,Blank,Myles K.,BC Children's and Women's Hospital,,,PSYC (2); MEDI (2),did not meet criteria
58,Blashko,Christopher,,,,,no authors found with criteria
59,Blignaut,Johann,,,,,no authors found with criteria
60,Bodnarchuk,Mark,Service correctionnel du Canada,,,MEDI (3); PSYC (3); SOCI (2),did not meet criteria
61,Bond,David J.,The University of British Columbia,14055349400,0000-0002-8713-7311,MEDI (149); NEUR (45); PSYC (27),
62,Bondar,Jay,Rotman Research Institute,,,PSYC (1),did not meet criteria
63,Borowska,Anna,,,,,no authors found with criteria
64,Bosc,Anastasia,,,,,no authors found with criteria
65,Bosley,Laurence,,,,,no authors found with criteria
66,Bossé-Chartier,Gabrielle,"University of British Columbia, Faculty of Medicine",57221873401,,MEDI (8); PSYC (2); ARTS (1),
67,Boston,Daniel W.,Kornberg School of Dentistry,,,DENT (27); MEDI (7); ENGI (1),did not meet criteria
68,Bota,Melissa,,,,,no authors found with criteria
69,Boudreau,Ainsley M.,BC​ Children​'​​s Hospital,35387416500,,MEDI (5); PSYC (5),
70,Bouffard,Rachelle,McGill University,,,MEDI (5); PSYC (4); NEUR (1),did not meet criteria
71,Boulding,Rachel,,,,,no authors found with criteria
72,Bourque,Marie Claire,,,,,no authors found with criteria
73,Bow,Simon,,,,,no authors found with criteria
74,Bozorg,Shaghayegh,,,,,no authors found with criteria
75,Breitman,Deanne,,,,,no authors found with criteria
76,Brennan,Naomi,,,,,no authors found with criteria
77,Brink,Justinus,,,,,no authors found with criteria
78,Broadway,Lauren,,,,,no authors found with criteria
79,Bronkhorst,Aletta,The University of British Columbia,56270019700,,MEDI (4),
80,Brost,Philip,,,,,no authors found with criteria
81,Broster,Brett S.,The University of British Columbia,6603832176,,NEUR (5); PSYC (3),
