,Last Name,First Name,Affiliation,Country,Scopus Author ID,ORCID,Research Areas,Warnings
0,Aartsma,Pieter,,,,,,no profile found
1,Abdel-Fattah,Mohamed,,,,,,no profile found
2,Abu,Ozotu,,,,,,no profile found
3,Adam,Trudy Jean,,,,,,no profile found
4,Adams,Leona,,,,,,no profile found
5,Adeshina,Adetokunbo,,,,,,no profile found
6,Afridi,Qasim,,,,,,no profile found
7,Afzal,Ayesha,,,,,,no profile found
8,Afzal,Neelam,,,,,,no profile found
9,Agafonov,Marina,,,,,,no profile found
10,Agbahovbe,Onome,,,,,,no profile found
11,Agboji,Hezekiah,,,,,,no profile found
12,Agranovich,Eugene,,,,,,no profile found
13,Ahmad,Nauman,,,,,,no profile found
14,Ainsworth,Nick,,,,,,no profile found
15,Ainsworth,Geoffrey,,,,,,no profile found
16,Ali,Shaik,,,,,,no profile found
17,Allen,Katie,,,,,,no profile found
18,Allibhai,Fatima,,,,,,no profile found
19,Almas,Naveed,,,,,,no profile found
20,Amarjothi Nagendran,Sreedharan,,,,,,no profile found
21,Anderson,Cameron,,,,,,no profile found
22,Anwar,Muhammad,,,,,,no profile found
23,Anyansi,Tochukwu,,,,,,no profile found
24,Argouarch,Sylvie,,,,,,no profile found
25,Armstrong,Kimberly,,,,,,no profile found
26,Au,Chi Hung,,,,,,no profile found
27,Au,Raymond,,,,,,no profile found
28,Austin,Jehannine,,,,,,no profile found
29,Awe,Ayodeji,,,,,,no profile found
30,Aydin,Cristina,,,,,,no profile found
31,Azarbar,Ataa,,,,,,no profile found
32,Azim,Hassan,,,,,,no profile found
33,Baer,Susan,,,,,,no profile found
34,Bailey,Anthony,,,,,,no profile found
35,Bains,Ramnique,,,,,,no profile found
36,Balakrishnan,Pradeep,,,,,,no profile found
37,Ballance,Dina,,,,,,no profile found
38,Banno,Brian,,,,,,no profile found
39,Barale,Anthony,,,,,,no profile found
40,Bardell,Andrea,,,,,,no profile found
41,Barley,Jennifer,,,,,,no profile found
42,Bates,Alan Thomas,,,,,,no profile found
43,Batke,Adrienne,,,,,,no profile found
44,Bayat,Negar,,,,,,no profile found
45,Beasley,Clare Louise,,,,,,no profile found
46,Beauchemin,Lyne,,,,,,no profile found
47,Beaumont,Charl,,,,,,no profile found
48,Bell,Rachel,,,,,,no profile found
49,Benning,Tony,,,,,,no profile found
50,Bergen,Dorothea,,,,,,no profile found
51,Bhalla,Rishi,,,,,,no profile found
52,Bhasin,Mani,,,,,,no profile found
53,Bhatia,Niti,,,,,,no profile found
54,Bilsker,Daniel,,,,,,no profile found
55,Biradar,Apparao,,,,,,no profile found
56,Birkholz,Kristina,,,,,,no profile found
57,Birlik,Muzumel,,,,,,no profile found
58,Birmingham,Carl Laird,,,,,,no profile found
59,Bishop,Lindsay,,,,,,no profile found
60,Black,Tyler,,,,,,no profile found
61,Blackburn,Paul,,,,,,no profile found
62,Blair,Lindsay,,,,,,no profile found
63,Blank,Myles,,,,,,no profile found
64,Blashko,Christopher,,,,,,no profile found
65,Blignaut,Johann,,,,,,no profile found
66,Bodnarchuk,Mark,,,,,,no profile found
67,Bond,David,,,,,,no profile found
68,Bondar,Jay,,,,,,no profile found
69,Booth,Christopher,,,,,,no profile found
70,Borowska,Anna,,,,,,no profile found
71,Bosc,Anastasia,,,,,,no profile found
72,Bosley,Laurence,,,,,,no profile found
73,Bosse Chartier,Gabrielle,,,,,,no profile found
74,Boston,Daniel,,,,,,no profile found
75,Bota,Melissa,,,,,,no profile found
76,Boudreau,Ainsley,,,,,,no profile found
77,Bouffard,Rachelle,,,,,,no profile found
78,Boulding,Rachel,,,,,,no profile found
79,Bourque,Marie Claire,,,,,,no profile found
80,Bow,Simon,,,,,,no profile found
81,Bozorg,Shaghayegh,,,,,,no profile found
82,Breitman,Deanne,,,,,,no profile found
83,Brennan,Naomi,,,,,,no profile found
84,Brink,Justinus,,,,,,no profile found
85,Broadway,Lauren,,,,,,no profile found
86,Bronkhorst,Aletta,,,,,,no profile found
87,Brost,Philip,,,,,,no profile found
88,Broster,Brett,,,,,,no profile found
89,Brown,Craig,,,,,,no profile found
90,Brown,Jessica,,,,,,no profile found
91,Burkey,Matthew,,,,,,no profile found
92,Burns,Kyle,,,,,,no profile found
93,Burns,Amy,,,,,,no profile found
94,Burrell,Erin,,,,,,no profile found
95,Burton,Hannah,,,,,,no profile found
96,Butterfield,Michael,,,,,,no profile found
97,Calhoun,Laura,,,,,,no profile found
98,Cameron,Kristjana,,,,,,no profile found
99,Campbell,Diane Paula,,,,,,no profile found
100,Campbell,Helen,,,,,,no profile found
101,Carey,Paul,,,,,,no profile found
102,Carlson,Marie,,,,,,no profile found
103,Carrion,Prescilla,,,,,,no profile found
104,Carter,Arthur,,,,,,no profile found
105,Caruncho,Hector,,,,,,no profile found
106,Casagrande,Magdalena,,,,,,no profile found
107,Casey,Janel,,,,,,no profile found
108,Catchpole,Rosalind,,,,,,no profile found
109,Catton,Kristen,,,,,,no profile found
110,Ceresney,Maureen,,,,,,no profile found
111,Chachamovich,Eduardo,,,,,,no profile found
112,Chakrabarty,Trisha,,,,,,no profile found
113,Chakraborty,Tapash,,,,,,no profile found
114,Champagne,Marilyn,,,,,,no profile found
115,Chan,Charlena,,,,,,no profile found
116,Chan,Salina,,,,,,no profile found
117,Chan,Ryan,,,,,,no profile found
118,Chapman,Laura,,,,,,no profile found
119,Chauhan,Harpreet,,,,,,no profile found
120,Cheek,Joanna,,,,,,no profile found
121,Chernick,Grant,,,,,,no profile found
122,Chete,Edwin,,,,,,no profile found
123,Chetty,Unita,,,,,,no profile found
124,Cheung,Pierre,,,,,,no profile found
125,Cheung,Bennett,,,,,,no profile found
126,Chhabra,Mehtaab,,,,,,no profile found
127,Chin,Danielle,,,,,,no profile found
