,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
0,Aartsma,Pieter,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
1,Abdel-Fattah,Mohamed,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
2,Abu,Ozotu,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
3,Adam,Trudy Jean,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
4,Adams,Leona,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
5,Adeshina,Adetokunbo,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
6,Afridi,Qasim,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
7,Afzal,Ayesha,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
8,Afzal,Neelam,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
9,Agafonov,Marina,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
10,Agbahovbe,Onome,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
11,Agboji,Hezekiah,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
12,Agranovich,Eugene,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
13,Ahmad,Nauman,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
14,Ainsworth,Nick,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
15,Ainsworth,Geoffrey,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
16,Ali,Shaik,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
17,Allen,Katie,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
18,Allibhai,Fatima,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
19,Almas,Naveed,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
20,Amarjothi Nagendran,Sreedharan,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
21,Anderson,Cameron M.,The University of British Columbia,55453388200,,NEUR (3); MEDI (1),
22,Anwar,Muhammad,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
23,Anyansi,Tochukwu,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
24,Argouarch,Sylvie,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
25,Armstrong,Kimberly,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
26,Au,Chi Hung,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
27,Au,Raymond,,,,,no profiles found with query (affil(UBC or University of British Columbia or Hospital or BC or Canada) and subjarea(NEUR or BIOC or MEDI or PSYC or HEAL or IMMU or NURS or PHAR))
