,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
0,Aartsma,Pieter,,,,,no profiles found with current query
1,Abdel-Fattah,Mohamed,,,,,no profiles found with current query
2,Abu,Ozotu,,,,,no profiles found with current query
3,Adam,Trudy Jean,,,,,no profiles found with current query
4,Adams,Leona,,,,,no profiles found with current query
5,Adeshina,Adetokunbo,,,,,no profiles found with current query
6,Afridi,Qasim,,,,,no profiles found with current query
7,Afzal,Ayesha,,,,,no profiles found with current query
8,Afzal,Neelam,,,,,no profiles found with current query
9,Agafonov,Marina,,,,,no profiles found with current query
10,Agbahovbe,Onome,,,,,no profiles found with current query
11,Agboji,Hezekiah,,,,,no profiles found with current query
12,Agranovich,Eugene,,,,,no profiles found with current query
13,Ahmad,Nauman,,,,,no profiles found with current query
14,Ainsworth,Nick,,,,,no profiles found with current query
15,Ainsworth,Geoffrey,,,,,no profiles found with current query
16,Ali,Shaik,,,,,no profiles found with current query
17,Allen,Katie,,,,,no profiles found with current query
18,Allibhai,Fatima,,,,,no profiles found with current query
19,Almas,Naveed,,,,,no profiles found with current query
20,Amarjothi Nagendran,Sreedharan,,,,,no profiles found with current query
21,Anderson,Cameron M.,The University of British Columbia,55453388200,,NEUR (3); MEDI (1),
22,Anwar,Muhammad,,,,,no profiles found with current query
23,Anyansi,Tochukwu,,,,,no profiles found with current query
24,Argouarch,Sylvie,,,,,no profiles found with current query
25,Armstrong,Kimberly,,,,,no profiles found with current query
26,Au,Chi Hung,,,,,no profiles found with current query
27,Au,Raymond,,,,,no profiles found with current query
28,Austin,Jehannine C.,"University of British Columbia, Faculty of Medicine",7402093250,0000-0003-0338-7055,MEDI (264); BIOC (47); NEUR (37),
29,Awe,Ayodeji,,,,,no profiles found with current query
30,Aydin,Cristina M.,The University of British Columbia,15130612300,,MEDI (4); BIOC (1),
31,Azarbar,Ataa,The University of British Columbia,57193737040,,MEDI (2); PSYC (1); NEUR (1),
32,Azim,Hassan F.A.,The University of British Columbia,6701805069,,MEDI (35); PSYC (25); SOCI (2),
33,Baer,Susan,The University of British Columbia,7005865403,,PHYS (23); MEDI (15); CHEM (12),
34,Bailey,Anthony J.,"University of British Columbia, Faculty of Medicine",7402596134,,MEDI (129); NEUR (62); PSYC (53),
35,Bains,Ramnique,,,,,no profiles found with current query
36,Balakrishnan,Pradeep,,,,,no profiles found with current query
37,Ballance,Dina,,,,,no profiles found with current query
