,title,eid,publication year,authors,last name,first name,member id
0,Characteristics of children with autism and unspecified intellectual developmental disorder (intellectual disability) presenting with severe self-injurious behaviours,2-s2.0-85136569317,2022,"Fong, Alison;Friedlander, Robin;Richardson, Anamaria;Allen, Katie;Zhang, Qian",Allen,Katie,57858657800
1,The journey from concealment to disclosure of an obsessive-compulsive disorder diagnosis in the high school setting: A qualitative study exploring youth perspectives,2-s2.0-85165664158,2023,"Vallani, Tanisha I.;Naqqash, Zainab;Lin, Boyee;Lu, Cynthia;Austin, Jehannine C.;Stewart, S. Evelyn",Austin,Jehannine C.,7402093250
2,Exploring Autistic adults’ perspectives on genetic testing for autism,2-s2.0-85163799375,2023,"Byres, Loryn;Morris, Emily;Austin, Jehannine",Austin,Jehannine C.,7402093250
3,"Child and adolescent psychiatrists’ use, attitudes, and understanding of genetic testing and pharmacogenetics in clinical practice",2-s2.0-85158872458,2023,"Soda, Takahiro;Merner, Amanda R.;Small, Brent J.;Torgerson, Laura N.;Muñoz, Katrina;Austin, Jehannine;Storch, Eric A.;Pereira, Stacey;Lázaro-Muñoz, Gabriel",Austin,Jehannine C.,7402093250
4,"The impact of receiving polygenic risk scores for alcohol use disorder on psychological distress, risk perception, and intentions to reduce drinking",2-s2.0-85149406763,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Dron, Jacqueline S.;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine C.,7402093250
5,Clinical genetic counseling and translation considerations for polygenic scores in personalized risk assessments: A Practice Resource from the National Society of Genetic Counselors,2-s2.0-85146083826,2023,"Wand, Hannah;Kalia, Sarah S.;Helm, Benjamin M.;Suckiel, Sabrina A.;Brockman, Deanna;Vriesen, Natalie;Goudar, Ranjit K.;Austin, Jehannine;Yanes, Tatiane",Austin,Jehannine C.,7402093250
6,Both sides now: Changing a long-standing pedigree tradition of men on the left and women on the right,2-s2.0-85144146495,2023,"Resta, Robert G.;French, Kathryn Steinhaus;Bennett, Robin L.;Austin, Jehannine",Austin,Jehannine C.,7402093250
7,Pharmacogenomic Testing for Major Depression: A Qualitative Study of the Perceptions of People with Lived Experience and Professional Stakeholders,2-s2.0-85143210306,2023,"Slomp, Caitlin;Morris, Emily;Edwards, Louisa;Hoens, Alison M.;Landry, Ginny;Riches, Linda;Ridgway, Lisa;Bryan, Stirling;Austin, Jehannine",Austin,Jehannine C.,7402093250
8,Evaluation of out-of-pocket pay genetic testing in a publicly funded healthcare system,2-s2.0-85145751835,2023,"Grant, Peter;Cook, Courtney B.;Langlois, Sylvie;Nuk, Jennifer;Mung, Sze Wing;Zhang, Qian;Lynd, Larry D.;Austin, Jehannine;Elliott, Alison M.",Austin,Jehannine C.,7402093250
9,Healthcare decision makers' perspectives on the creation of new genetic counselor positions in North America: Exploring the case for psychiatric genetic counseling,2-s2.0-85144022950,2023,"Chanouha, Nour;Cragun, Deborah L.;Pan, Vivian Y.;Austin, Jehannine C.;Hoell, Christin",Austin,Jehannine C.,7402093250
10,Psychiatric genetic counseling: A survey of Australian genetic counselors' practice and attitudes,2-s2.0-85144019969,2023,"Isbister, Joanne;Sexton, Adrienne;Forrest, Laura E.;James, Paul;Dowty, James;Taylor, Jessica;Austin, Jehannine;Winship, Ingrid",Austin,Jehannine C.,7402093250
11,Considerations for the use of qualitative methodologies in genetic counseling research,2-s2.0-85140252179,2023,"Wainstein, Tasha;Elliott, Alison M.;Austin, Jehannine C.",Austin,Jehannine C.,7402093250
12,A qualitative study exploring the consumer experience of receiving self-initiated polygenic risk scores from a third-party website,2-s2.0-85139203605,2023,"Lowes, Kiara;Borle, Kennedy;Folkersen, Lasse;Austin, Jehannine",Austin,Jehannine C.,7402093250
13,Integrating Theory with Education about Genetic Risk for Alcohol Use Disorder: The Effects of a Brief Online Educational Tool on Elements of the Health Belief Model,2-s2.0-85163880733,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine C.,7402093250
14,Evaluating treatment outcomes in pharmacogenomic-guided care for major depression: A rapid review and meta-analysis,2-s2.0-85147875845,2023,"Bunka, Mary;Wong, Gavin;Kim, Dan;Edwards, Louisa;Austin, Jehannine;Doyle-Waters, Mary M.;Gaedigk, Andrea;Bryan, Stirling",Austin,Jehannine C.,7402093250
15,Research priorities in psychiatric genetic counselling: how to talk to children and adolescents about genetics and psychiatric disorders,2-s2.0-85144526088,2023,"Mundy, Jessica;Davies, Helena L.;Radu, Mădălina;Austin, Jehannine;Vassos, Evangelos;Eley, Thalia C.;Breen, Gerome;Moldovan, Ramona",Austin,Jehannine C.,7402093250
16,Using Rasch measurement theory to explore the fitness for purpose of the genetic counseling outcome scale: a tale of two scales,2-s2.0-85142273608,2023,"Borle, Kennedy;Austin, Jehannine;Barbic, Skye",Austin,Jehannine C.,7402093250
17,"Relationships Between Maternal Perinatal Mood, Sex of Infant, and Disappointment with Sex of Infant in a North American Sample",2-s2.0-85145716829,2023,"Slomp, C.;Morris, E.;Hippman, C.;Inglis, A.;Carrion, P.;Batallones, R.;Andrighetti, H.;Albert, A.;Austin, J.",Austin,Jehannine C.,7402093250
18,The experiences of adolescent siblings of children with rare genetic conditions: “It's made me who I am”,2-s2.0-85138282295,2023,"Heaton, Julia;Wainstein, Tasha;Elliott, Alison M.;Austin, Jehannine",Austin,Jehannine C.,7402093250
19,Examining the effect of patient personality types and coping styles on outcomes of genetic counseling,2-s2.0-85135147933,2023,"Salman, Areesha;Morris, Emily;Inglis, Angela;Austin, Jehannine",Austin,Jehannine C.,7402093250
20,Development and evaluation of an educational resource for parents of children with 22q11.2 deletion syndrome about the psychiatric manifestations of the condition,2-s2.0-85169617133,2023,"Blankenship, Kayla;Chieffo, Stephanie;Morris, Emily;Slomp, Caitlin;Batallones, Rolan;Prijoles, Eloise;Hill-Chapman, Crystal;Austin, Jehannine",Austin,Jehannine C.,7402093250
21,"A novel online genomic counseling and variant interpretation certificate: Learning design, learning analytics, and evaluation",2-s2.0-85164561012,2023,"Macfadyen, Leah P.;Austin, Jehannine;Cao, Ping;Cheng, John;Cremin, Carol;Duong, Linda;Elliott, Alison M.;Guimond, Colleen;Lim, Shur;Race, Simone;Rajan-Babu, Indhu Shree;Richardson, Anastasia;Wainstein, Tasha;Zahir, Farah;Birch, Patricia H.",Austin,Jehannine C.,7402093250
22,How do experts in psychiatric genetics view the clinical utility of polygenic risk scores for schizophrenia?,2-s2.0-85158871020,2023,"Moorthy, Tiahna;Nguyen, Huyan;Chen, Ying;Austin, Jehannine;Smoller, Jordan W.;Hercher, Laura;Sabatello, Maya",Austin,Jehannine C.,7402093250
23,Barriers to genetic testing in clinical psychiatry and ways to overcome them: from clinicians’ attitudes to sociocultural differences between patients across the globe,2-s2.0-85139714752,2022,"Pinzón-Espinosa, Justo;van der Horst, Marte;Zinkstok, Janneke;Austin, Jehannine;Aalfs, Cora;Batalla, Albert;Sullivan, Patrick;Vorstman, Jacob;Luykx, Jurjen J.",Austin,Jehannine C.,7402093250
24,Practice resource-focused revision: Standardized pedigree nomenclature update centered on sex and gender inclusivity: A practice resource of the National Society of Genetic Counselors,2-s2.0-85138060246,2022,"Bennett, Robin L.;French, Kathryn Steinhaus;Resta, Robert G.;Austin, Jehannine",Austin,Jehannine C.,7402093250
25,Evaluating the impact of a new educational tool on understanding of polygenic risk scores for alcohol use disorder,2-s2.0-85143318375,2022,"Driver, Morgan N.;Kuo, Sally I.Chun;Petronio, Lia;Brockman, Deanna;Dron, Jacqueline S.;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine C.,7402093250
26,Psychiatric genetic counseling for people with copy number variants associated with psychiatric conditions,2-s2.0-85137532569,2022,"Morris, Emily;Inglis, Angela;Austin, Jehannine",Austin,Jehannine C.,7402093250
27,Concerns about the use of polygenic embryo screening for psychiatric and cognitive traits,2-s2.0-85138017104,2022,"Lencz, Todd;Sabatello, Maya;Docherty, Anna;Peterson, Roseann E.;Soda, Takahiro;Austin, Jehannine;Bierut, Laura;Crepaz-Keay, David;Curtis, David;Degenhardt, Franziska;Huckins, Laura;Lazaro-Munoz, Gabriel;Mattheisen, Manuel;Meiser, Bettina;Peay, Holly;Rietschel, Marcella;Walss-Bass, Consuelo;Davis, Lea K.",Austin,Jehannine C.,7402093250
