,title,eid,publication year,last name,first name,member id,irp,2018,2019,2020,2021,2022,2023
0,VGLUT3 Deletion Rescues Motor Deficits and Neuronal Loss in the zQ175 Mouse Model of Huntington’s Disease,2-s2.0-85163237613,2023,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,0
1,The Role of Neuroglial Metabotropic Glutamate Receptors in Alzheimer’s Disease,2-s2.0-85147216812,2023,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,4,2
2,Adipose tissue mitochondrial dysfunction and cardiometabolic diseases: On the search for novel molecular targets,2-s2.0-85141459709,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,1
3,Targeting mGluR2/3 for treatment of neurodegenerative and neuropsychiatric diseases,2-s2.0-85138088523,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,3
4,Editorial: Methods and application in cardiovascular and smooth muscle pharmacology: 2021,2-s2.0-85141347606,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,0
5,VGLUT3 Ablation Differentially Modulates Glutamate Receptor Densities in Mouse Brain,2-s2.0-85130001876,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,1
6,Early metabolic impairment as a contributor to neurodegenerative disease: Mechanisms and potential pharmacological intervention,2-s2.0-85128779382,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,4
7,A positive allosteric modulator for the muscarinic receptor (M1 mAChR) improves pathology and cognitive deficits in female APPswe/PSEN1ΔE9 mice,2-s2.0-85124094229,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,6,3
8,Metabotropic Glutamate Receptor 5 Antagonism Reduces Pathology and Differentially Improves Symptoms in Male and Female Heterozygous zQ175 Huntington’s Mice,2-s2.0-85124732889,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,2
9,Noncanonical Metabotropic Glutamate Receptor 5 Signaling in Alzheimer's Disease,2-s2.0-85123390051,2022,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,10,6
10,Metabotropic Glutamate Receptor 2/3 Activation Improves Motor Performance and Reduces Pathology in Heterozygous zQ175 Huntington Disease Mice,2-s2.0-85118903573,2021,Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,4,5
