,title,eid,publication year,authors,last name,first name,member id,irp,2018,2019,2020,2021,2022,2023
0,VGLUT3 Deletion Rescues Motor Deficits and Neuronal Loss in the zQ175 Mouse Model of Huntington’s Disease,2-s2.0-85163237613,2023,"Ibrahim, Karim S.;Mestikawy, Salah El;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,0
1,The Role of Neuroglial Metabotropic Glutamate Receptors in Alzheimer’s Disease,2-s2.0-85147216812,2023,"Abd-Elrahman, Khaled S.;Sarasija, Shaarika;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,4,2
2,Adipose tissue mitochondrial dysfunction and cardiometabolic diseases: On the search for novel molecular targets,2-s2.0-85141459709,2022,"AlZaim, Ibrahim;Eid, Ali H.;Abd-Elrahman, Khaled S.;El-Yazbi, Ahmed F.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,1
3,Targeting mGluR2/3 for treatment of neurodegenerative and neuropsychiatric diseases,2-s2.0-85138088523,2022,"Li, Si Han;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,3
4,Editorial: Methods and application in cardiovascular and smooth muscle pharmacology: 2021,2-s2.0-85141347606,2022,"El-Yazbi, Ahmed F.;Eid, Ali H.;Zouein, Fouad A.;Abd-Elrahman, Khaled S.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,0
5,VGLUT3 Ablation Differentially Modulates Glutamate Receptor Densities in Mouse Brain,2-s2.0-85130001876,2022,"Ibrahim, Karim S.;El Mestikawy, Salah;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,0,1
6,Early metabolic impairment as a contributor to neurodegenerative disease: Mechanisms and potential pharmacological intervention,2-s2.0-85128779382,2022,"Fakih, Walaa;Zeitoun, Ralph;AlZaim, Ibrahim;Eid, Ali H.;Kobeissy, Firas;Abd-Elrahman, Khaled S.;El-Yazbi, Ahmed F.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,4
7,A positive allosteric modulator for the muscarinic receptor (M1 mAChR) improves pathology and cognitive deficits in female APPswe/PSEN1ΔE9 mice,2-s2.0-85124094229,2022,"Abd-Elrahman, Khaled S.;Sarasija, Shaarika;Colson, Tash Lynn L.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,6,3
8,Metabotropic Glutamate Receptor 5 Antagonism Reduces Pathology and Differentially Improves Symptoms in Male and Female Heterozygous zQ175 Huntington’s Mice,2-s2.0-85124732889,2022,"Li, Si Han;Colson, Tash Lynn L.;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,3,2
9,Noncanonical Metabotropic Glutamate Receptor 5 Signaling in Alzheimer's Disease,2-s2.0-85123390051,2022,"Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,10,6
10,Metabotropic Glutamate Receptor 2/3 Activation Improves Motor Performance and Reduces Pathology in Heterozygous zQ175 Huntington Disease Mice,2-s2.0-85118903573,2021,"Li, Si Han;Colson, Tash Lynn L.;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,0,4,5
11,"Optineurin deletion disrupts metabotropic glutamate receptor 5-mediated regulation of ERK1/2, GSK3β/ZBTB16, mTOR/ULK1 signaling in autophagy",2-s2.0-85100384698,2021,"Ibrahim, Karim S.;McLaren, Caitlyn J.;Abd-Elrahman, Khaled S.;Ferguson, Stephen S.G.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,3,6,3
12,The pleiotropic effects of antithrombotic drugs in the metabolic-cardiovascular-neurodegenerative disease continuum: Impact beyond reduced clotting,2-s2.0-85105564385,2021,"Alaaeddine, Rana A.;AlZaim, Ibrahim;Hammoud, Safaa H.;Arakji, Aya;Eid, Ali H.;Abd-Elrahman, Khaled S.;El-Yazbi, Ahmed F.",Abd-Elrahman,Khaled,36653563400,Learning Memory & Dementias,0,0,0,1,4,1
